Hour,Minute,Second,Microsecond,IR1,
11,10,10,602380,28359,10.60
11,10,10,611255,28356,10.61
11,10,10,623331,28355,10.62
11,10,10,635009,28356,10.64
11,10,10,643254,28345,10.64
11,10,10,656227,28348,10.66
11,10,10,664230,28342,10.66
11,10,10,676187,28346,10.68
11,10,10,684189,28345,10.68
11,10,10,697339,28345,10.70
11,10,10,709061,28357,10.71
11,10,10,717293,28340,10.72
11,10,10,729100,28346,10.73
11,10,10,738215,28350,10.74
11,10,10,750195,28339,10.75
11,10,10,758313,28330,10.76
11,10,10,770335,28320,10.77
11,10,10,783044,28318,10.78
11,10,10,791494,28306,10.79
11,10,10,803201,28306,10.80
11,10,10,811259,28317,10.81
11,10,10,824196,28314,10.82
11,10,10,832397,28310,10.83
11,10,10,844328,28310,10.84
11,10,10,856161,28307,10.86
11,10,10,865321,28304,10.87
11,10,10,877127,28316,10.88
11,10,10,885120,28308,10.89
11,10,10,897184,28306,10.90
11,10,10,906287,28307,10.91
11,10,10,918234,28307,10.92
11,10,10,930156,28316,10.93
11,10,10,938228,28307,10.94
11,10,10,951188,28306,10.95
11,10,10,959270,28298,10.96
11,10,10,971261,28300,10.97
11,10,10,979244,28295,10.98
11,10,10,992115,28284,10.99
11,10,11,4069,28302,11.00
11,10,11,12145,28294,11.01
11,10,11,24095,28293,11.02
11,10,11,32366,28294,11.03
11,10,11,45226,28282,11.05
11,10,11,53276,28285,11.05
11,10,11,65295,28283,11.07
11,10,11,78125,28289,11.08
11,10,11,86257,28286,11.09
11,10,11,98153,28288,11.10
11,10,11,106287,28284,11.11
11,10,11,118307,28278,11.12
11,10,11,127299,28271,11.13
11,10,11,139919,28268,11.14
11,10,11,151273,28275,11.15
11,10,11,159166,28273,11.16
11,10,11,172239,28272,11.17
11,10,11,180046,28260,11.18
11,10,11,192139,28261,11.19
11,10,11,200215,28255,11.20
11,10,11,213179,28259,11.21
11,10,11,225063,28267,11.23
11,10,11,233278,28261,11.23
11,10,11,245318,28265,11.25
11,10,11,254265,28274,11.25
11,10,11,266173,28274,11.27
11,10,11,274202,28271,11.27
11,10,11,286264,28271,11.29
11,10,11,299156,28274,11.30
11,10,11,307265,28262,11.31
