Hour,Minute,Second,Microsecond,IR1,
11,41,40,907247,39568,40.907
11,41,40,919101,39579,40.919
11,41,40,927127,39577,40.927
11,41,40,940303,39577,40.940
11,41,40,948200,39583,40.948
11,41,40,960396,39571,40.960
11,41,40,972099,39565,40.972
11,41,40,981167,39570,40.981
11,41,40,993168,39569,40.993
11,41,41,1384,39562,41.001
11,41,41,13214,39560,41.013
11,41,41,22196,39557,41.022
11,41,41,34222,39559,41.034
11,41,41,46074,39552,41.046
11,41,41,54127,39536,41.054
11,41,41,67174,39528,41.067
11,41,41,75346,39459,41.075
11,41,41,87491,39309,41.087
11,41,41,95163,39122,41.095
11,41,41,108137,38949,41.108
11,41,41,120009,38782,41.120
11,41,41,128171,38647,41.128
11,41,41,140088,38555,41.140
11,41,41,149132,38473,41.149
11,41,41,161214,38436,41.161
11,41,41,169156,38497,41.169
11,41,41,181224,38514,41.181
11,41,41,194192,38494,41.194
11,41,41,202191,38508,41.202
11,41,41,214164,38514,41.214
11,41,41,222324,38518,41.222
11,41,41,235214,38522,41.235
11,41,41,243311,38517,41.243
11,41,41,255339,38511,41.255
11,41,41,267116,38506,41.267
11,41,41,276347,38518,41.276
11,41,41,288208,38520,41.288
11,41,41,296181,38518,41.296
11,41,41,308172,38518,41.308
11,41,41,317192,38508,41.317
11,41,41,329142,38509,41.329
11,41,41,341193,38519,41.341
11,41,41,349183,38527,41.349
11,41,41,362168,38518,41.362
11,41,41,370235,38507,41.370
11,41,41,382349,38518,41.382
11,41,41,390282,38518,41.390
11,41,41,402353,38529,41.402
11,41,41,415176,38541,41.415
11,41,41,423353,38546,41.423
11,41,41,435096,38537,41.435
11,41,41,443357,38549,41.443
11,41,41,456311,38547,41.456
11,41,41,464210,38568,41.464
11,41,41,476348,38548,41.476
11,41,41,488189,38560,41.488
11,41,41,497178,38552,41.497
11,41,41,509181,38554,41.509
11,41,41,517246,38559,41.517
11,41,41,529228,38573,41.529
11,41,41,538189,38549,41.538
11,41,41,550236,38548,41.550
11,41,41,562148,38540,41.562
11,41,41,570137,38544,41.570
11,41,41,583336,38546,41.583
11,41,41,591221,38542,41.591
11,41,41,603167,38527,41.603
