AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,,,,,
,,,,,,,,,,,,,,,,
-0.2581,-0.2629,0.8951,-0.2137,0.7183,0.3348,-3.535,0.735,-9.5812,-16.3679650999,-15.423737633,-102.5402282658,,,,,
,,,,,,,,,,,,,,,,
-0.2603,-0.2611,0.8992,-0.2148,0.7189,0.3306,-3.3425,1.4175,-9.4325,-16.1920788247,-15.464879446,-102.6475490964,,,,,
,,,,,,,,,,,,,,,,
-0.2589,-0.2612,0.9007,-0.2181,0.7178,0.3338,-3.78,1.6013,-9.5113,-16.1720295652,-15.4558784176,-102.8258987669,,,,,
,,,,,,,,,,,,,,,,
-0.2578,-0.2623,0.9008,-0.2181,0.7178,0.3338,-3.185,1.3737,-10.0537,-16.2346546538,-15.420734371,-102.8543338129,,,,,
,,,,,,,,,,,,,,,,
-0.2583,-0.2613,0.8999,-0.2146,0.7196,0.3342,-3.0713,1.1462,-9.7388,-16.1915791702,-15.4161192877,-102.5738322382,,,,,
,,,,,,,,,,,,,,,,
-0.2599,-0.2618,0.9002,-0.2146,0.7196,0.3342,-3.6138,0.945,-9.975,-16.2156565248,-15.4564976178,-102.5612491061,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2652,0.897,-0.214,0.7173,0.3357,-3.36,1.2075,-10.1062,-16.4698384462,-15.4554975939,-102.5748980241,,,,,
,,,,,,,,,,,,,,,,
-0.261,-0.2615,0.8999,-0.2142,0.7198,0.3357,-3.2375,1.2425,-10.3162,-16.2038394761,-15.5018135389,-102.4820821663,,,,,
,,,,,,,,,,,,,,,,
-0.2589,-0.2605,0.901,-0.2142,0.7198,0.3357,-3.7538,1.1987,-9.7212,-16.125989069,-15.4706770034,-102.492711803,,,,,
,,,,,,,,,,,,,,,,
-0.2602,-0.2601,0.8993,-0.2151,0.7202,0.3341,-3.71,1.26,-9.3013,-16.1311764479,-15.4971261369,-102.5642667387,,,,,
,,,,,,,,,,,,,,,,
-0.2594,-0.262,0.8994,-0.2151,0.7202,0.3341,-3.4475,1.0587,-9.5725,-16.240867439,-15.4877014239,-102.6003480457,,,,,
,,,,,,,,,,,,,,,,
-0.2565,-0.2607,0.8999,-0.2122,0.719,0.337,-3.9725,1.4787,-10.2725,-16.156438191,-15.4273081,-102.3701378094,,,,,
,,,,,,,,,,,,,,,,
-0.2582,-0.2619,0.8994,-0.218,0.7178,0.3366,-3.7625,0.91,-9.2575,-16.2350671025,-15.4182450039,-102.7756708294,,,,,
,,,,,,,,,,,,,,,,
