AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2364,-0.1706,0.9267,-0.2776,0.7035,0.3693,-3.4738,1.2862,-10.1763,-10.430899342042146,-14.10854102270834,-105.60148704238786
-0.2365,-0.1712,0.9221,-0.2754,0.7036,0.3651,-2.94,0.8138,-9.6862,-10.517749466644666,-14.151148214992888,-105.52412635048384
-0.2413,-0.171,0.923,-0.2754,0.7036,0.3651,-3.745,1.8025,-9.1525,-10.495973726565051,-14.403219828487217,-105.42697411571237
-0.2409,-0.1706,0.9248,-0.2758,0.7043,0.3652,-3.5,1.5225,-10.0887,-10.452084791566824,-14.369966068565772,-105.4512585983767
-0.2436,-0.1675,0.9295,-0.2758,0.7043,0.3652,-3.605,1.4262,-9.3712,-10.215871183816256,-14.458215658563569,-105.38120472532748
-0.2399,-0.1662,0.9282,-0.2757,0.7054,0.3568,-2.8525,1.54,-10.0975,-10.151738553723085,-14.282710048843661,-105.5873144008524
-0.2391,-0.1699,0.9235,-0.2762,0.7048,0.3632,-2.4763,1.0675,-10.3863,-10.423732570228239,-14.285660257010404,-105.53694136432074
-0.2377,-0.1666,0.9243,-0.2762,0.7048,0.3632,-3.255,1.3037,-9.8962,-10.218024494982316,-14.206647276687669,-105.53559765419271
-0.2382,-0.1679,0.9226,-0.277,0.7036,0.3651,-3.7888,0.8663,-9.5637,-10.313911933984665,-14.250229278629218,-105.56700957956076
-0.2391,-0.1727,0.9218,-0.277,0.7036,0.3651,-3.6925,1.2775,-9.1087,-10.61070316997264,-14.300266266893402,-105.59354215748466
-0.2434,-0.1701,0.924,-0.2746,0.7043,0.3608,-3.5963,1.5225,-9.5113,-10.43126705772662,-14.51338212294528,-105.40235302526757
-0.2412,-0.1701,0.9213,-0.2753,0.7055,0.3671,-3.0975,1.225,-9.6512,-10.460672976567224,-14.441012849928729,-105.33569755474383
-0.2425,-0.1705,0.9251,-0.2753,0.7055,0.3671,-2.9838,1.4525,-9.7825,-10.442719291098134,-14.45495599865275,-105.32629590630263
-0.2418,-0.1689,0.9268,-0.2762,0.704,0.3642,-3.1763,0.9625,-9.7388,-10.32850520641642,-14.398157835100639,-105.4752040094155
-0.2416,-0.1684,0.9212,-0.2762,0.704,0.3642,-2.765,1.085,-9.415,-10.35949773041175,-14.463157853830728,-105.45463884155158
-0.2406,-0.1684,0.9221,-0.2755,0.7038,0.359,-4.1213,1.6187,-8.715,-10.349700540857018,-14.399175558101753,-105.54144954800738
-0.2416,-0.1685,0.9231,-0.2755,0.704,0.3643,-3.465,1.7237,-9.205,-10.344726116933579,-14.43658279996771,-105.41280768900961
-0.2382,-0.1697,0.9247,-0.2753,0.704,0.3643,-3.7625,1.0675,-9.485,-10.39902103043599,-14.227877443136013,-105.48643732598808
-0.2423,-0.1684,0.9251,-0.2742,0.7036,0.3655,-3.955,0.9013,-9.3712,-10.317028863886415,-14.439468317127364,-105.29748234143453
-0.2392,-0.1697,0.9248,-0.2742,0.7036,0.3655,-3.57,1.155,-9.9575,-10.397858964640562,-14.281246324674392,-105.37317488971291
-0.2392,-0.1712,0.9244,-0.275,0.7025,0.3623,-3.8413,1.645,-9.3625,-10.49214374283844,-14.275482966427033,-105.52455600536642
-0.2432,-0.1692,0.9203,-0.275,0.7025,0.3623,-4.1563,1.6625,-9.59,-10.417841055605972,-14.554968979514216,-105.40865363802499
-0.2409,-0.171,0.9245,-0.2764,0.7053,0.3574,-3.5088,1.5575,-9.3975,-10.479127018838872,-14.380358053333522,-105.63986202646778
-0.2392,-0.1688,0.9284,-0.2766,0.7041,0.3633,-3.3513,1.4175,-9.7388,-10.305253676873702,-14.231820390679166,-105.57735081199553
-0.2403,-0.1704,0.9233,-0.2766,0.7041,0.3633,-3.675,1.3037,-10.255,-10.456231564510857,-14.350205214502656,-105.55311757953827
-0.2393,-0.1697,0.9242,-0.275,0.7044,0.3645,-3.3688,1.4962,-10.2987,-10.404772019227268,-14.29073763851026,-105.43148750046464
-0.2368,-0.1708,0.9255,-0.275,0.7044,0.3645,-3.045,1.2425,-10.2987,-10.456104763285296,-14.131109875017952,-105.49772538509302
-0.2414,-0.1674,0.9206,-0.2754,0.7038,0.3674,-3.605,1.8112,-9.415,-10.306292908898081,-14.449981946782648,-105.32899503935873
-0.2416,-0.1688,0.9244,-0.2753,0.7043,0.365,-4.0862,1.1375,-9.6775,-10.348376727287233,-14.420327465666988,-105.387403738921
-0.2414,-0.1702,0.9213,-0.2753,0.7043,0.365,-3.4038,1.0675,-9.2487,-10.46647906630573,-14.447296187380987,-105.3949266277564
-0.241,-0.169,0.9237,-0.2755,0.7044,0.3625,-3.6138,1.5925,-10.0625,-10.368382357382174,-14.396681674756138,-105.46295126514855
-0.2402,-0.1698,0.9224,-0.2755,0.7044,0.3625,-4.06,1.0675,-10.0275,-10.430373448199123,-14.366441314023993,-105.48291881966094
-0.2379,-0.1684,0.9281,-0.274,0.7058,0.3658,-4.025,1.0412,-9.3362,-10.284543175441371,-14.165352783696802,-105.34406958762106
-0.2416,-0.1706,0.9221,-0.2754,0.7039,0.3638,-3.1325,1.05,-9.73,-10.481448150462569,-14.434172312013663,-105.43563989396685
-0.2374,-0.1704,0.9272,-0.2754,0.7039,0.3638,-3.0275,1.3037,-10.01,-10.413725467585287,-14.148694718955024,-105.53683250226315
-0.2408,-0.1692,0.924,-0.2755,0.7051,0.3642,-3.0713,1.2775,-10.535,-10.376945033439982,-14.366956312327225,-105.42405266182547
-0.2389,-0.1702,0.9232,-0.2755,0.7051,0.3642,-3.7538,1.0762,-10.0975,-10.445528347963519,-14.282037507665066,-105.47003617903356
-0.2387,-0.1693,0.9237,-0.2763,0.7034,0.3594,-3.71,1.3125,-9.7212,-10.386296111823613,-14.262565491428404,-105.64698346243559
-0.2388,-0.1686,0.9284,-0.2766,0.7048,0.3653,-4.025,1.4262,-9.3625,-10.293116650265022,-14.204959097663709,-105.5314815337708
-0.2409,-0.1696,0.922,-0.2766,0.7048,0.3653,-3.5875,1.3212,-10.1325,-10.42261985731478,-14.401598108586212,-105.47576169854216
-0.2392,-0.17,0.9219,-0.2746,0.7055,0.3639,-3.7713,1.3125,-9.9837,-10.448013788502694,-14.318419853101183,-105.39624121999366
-0.2391,-0.1693,0.922,-0.2746,0.7055,0.3639,-3.5788,1.3212,-9.52,-10.404990381125074,-14.309400546397855,-105.39148857981394
-0.2412,-0.1704,0.9224,-0.2765,0.7043,0.3686,-3.4388,1.1287,-9.7825,-10.466418816741475,-14.415427842697678,-105.41193154247708
-0.2404,-0.1713,0.9274,-0.2769,0.7033,0.3646,-2.9575,1.0937,-9.8525,-10.465151131196453,-14.305964193072432,-105.58046980919256
-0.2378,-0.1697,0.9233,-0.2769,0.7033,0.3646,-3.3163,1.0587,-9.975,-10.414689931510535,-14.218952080212642,-105.60378351154789
-0.2416,-0.1696,0.9209,-0.275,0.7034,0.3656,-3.5788,1.0587,-9.73,-10.435052282456956,-14.455863651255374,-105.36489409151146
-0.238,-0.1687,0.9289,-0.275,0.7034,0.3656,-2.8963,0.8138,-10.0625,-10.293777858243523,-14.163298636767076,-105.45796128301366
-0.2422,-0.1703,0.9187,-0.2742,0.7034,0.3701,-2.905,1.12,-10.1937,-10.501264293586736,-14.51485232880294,-105.20376888396092
-0.2402,-0.1692,0.9257,-0.2729,0.7036,0.3638,-3.0538,0.9013,-9.2575,-10.35854927149929,-14.32814729000967,-105.29711284141138
-0.2401,-0.17,0.9249,-0.2729,0.7036,0.3638,-2.7125,1.2862,-9.52,-10.414795243850394,-14.322951230223255,-105.30453788519021
-0.2414,-0.1698,0.9208,-0.277,0.7048,0.365,-2.59,1.365,-9.695,-10.448166325957388,-14.450589348988352,-105.49641046859138
-0.2408,-0.1704,0.9259,-0.277,0.7048,0.365,-3.2025,1.0412,-9.1787,-10.427914926949152,-14.352123438927615,-105.53274449682678
-0.2381,-0.1703,0.9264,-0.2747,0.7034,0.3658,-3.3425,0.9625,-8.9687,-10.416407176282831,-14.193849683958744,-105.43854171012435
-0.2417,-0.1688,0.921,-0.2739,0.7042,0.3634,-3.955,1.1725,-9.3275,-10.385919916445228,-14.460735516704535,-105.31303669865311
-0.2395,-0.1697,0.9268,-0.2739,0.7042,0.3634,-3.2987,0.8838,-9.2925,-10.376120609435912,-14.271219703582394,-105.38708650774865
-0.2411,-0.1678,0.9221,-0.2762,0.7032,0.3649,-3.3688,0.9538,-9.4587,-10.313741098803048,-14.418960884455261,-105.46025513858126
-0.2397,-0.1665,0.9238,-0.2762,0.7032,0.3649,-3.465,1.19,-9.765,-10.21717569376655,-14.329219926465463,-105.48240269755432
-0.239,-0.1696,0.9248,-0.2742,0.7044,0.3605,-3.5788,1.575,-9.9575,-10.391645765956588,-14.265457714990017,-105.4662225021161
-0.2406,-0.1682,0.9247,-0.2754,0.7053,0.3654,-3.99,1.54,-9.4762,-10.309401399802768,-14.354423085479725,-105.38582367516182
-0.2399,-0.1684,0.9232,-0.2754,0.7053,0.3654,-3.57,1.6362,-9.2925,-10.337545927018871,-14.340616009718135,-105.39688172035517
-0.2411,-0.1705,0.9216,-0.2741,0.7044,0.3643,-3.85,1.3562,-9.7388,-10.48112194859997,-14.422186758611382,-105.33660126217222
-0.2428,-0.1699,0.9273,-0.2741,0.7044,0.3643,-4.1825,1.3912,-9.8962,-10.382811634168698,-14.44158569709941,-105.31547306775248
-0.2389,-0.1697,0.9291,-0.2748,0.703,0.3642,-3.3163,1.4962,-9.6425,-10.351041802731363,-14.206801218848664,-105.47128486904757
-0.2419,-0.1703,0.9249,-0.2748,0.703,0.3641,-3.4738,1.3737,-9.6512,-10.432711503008823,-14.41442650585867,-105.40357890527926
-0.2419,-0.1703,0.927,-0.2783,0.7036,0.3641,-3.6488,1.365,-9.1175,-10.409839271899664,-14.395458252856775,-105.63902456344967
-0.2407,-0.1706,0.9277,-0.2733,0.7049,0.3634,-3.1763,1.1725,-9.2837,-10.420001931256685,-14.319016151938436,-105.32324595658037
-0.2422,-0.1677,0.9227,-0.2733,0.7049,0.3634,-3.7275,1.3562,-9.8437,-10.30129956593442,-14.473081475445134,-105.24551382504526
-0.2389,-0.1689,0.9218,-0.275,0.7042,0.3607,-4.3575,1.4262,-9.6075,-10.382853189826346,-14.309600319490315,-105.50427048548217
