AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2863,-0.1761,0.9122,-0.2846,0.7594,0.4178,-3.2025,1.4962,-10.2812,0,0,0
-0.2847,-0.1775,0.9148,-0.2846,0.7594,0.4131,-3.1763,1.26,-10.3075,0,0,0
-0.2829,-0.1767,0.916,-0.2834,0.761,0.4131,-3.0013,0.7525,-10.0275,0,0,0
-0.2847,-0.1763,0.9109,-0.283,0.7607,0.4113,-3.4913,1.3562,-9.6862,0,0,0
-0.2858,-0.1755,0.913,-0.283,0.7607,0.4113,-3.3688,1.4962,-9.5462,0,0,0
-0.2844,-0.1753,0.9162,-0.281,0.7598,0.4131,-4.0862,1.33,-9.5725,0,0,0
-0.2842,-0.1782,0.9129,-0.281,0.7598,0.4131,-4.2438,1.3737,-9.9488,0,0,0
-0.2841,-0.1773,0.9122,-0.2846,0.7602,0.4082,-3.6837,1.2687,-9.7825,0,0,0
-0.2868,-0.1761,0.9086,-0.2813,0.7593,0.4117,-2.9225,1.75,-10.2112,0,0,0
-0.2833,-0.1776,0.9163,-0.2813,0.7593,0.4117,-3.5613,0.875,-10.2025,0,0,0
-0.2853,-0.1778,0.9136,-0.282,0.7608,0.4162,-3.6663,1.1987,-9.3625,0,0,0
-0.2852,-0.1749,0.915,-0.282,0.7608,0.4162,-4.0163,1.2687,-10.0887,0,0,0
-0.2827,-0.1756,0.9154,-0.2812,0.7597,0.4098,-3.3863,1.3475,-10.64,0,0,0
-0.2859,-0.1764,0.9138,-0.2826,0.7614,0.4126,-2.8438,1.1375,-10.1062,0,0,0
-0.2863,-0.1757,0.9166,-0.2826,0.7614,0.4126,-2.4588,1.1375,-10.3687,0,0,0
-0.2854,-0.1762,0.9123,-0.2815,0.7595,0.4125,-2.9488,1.0237,-9.8175,0,0,0
-0.2846,-0.1761,0.9114,-0.2815,0.7595,0.4125,-2.52,1.2775,-10.2637,0,0,0
-0.286,-0.1765,0.9147,-0.2821,0.7596,0.4101,-2.835,1.3912,-9.9575,0,0,0
-0.2855,-0.1768,0.9156,-0.2831,0.7597,0.4123,-3.1325,1.33,-10.0187,0,0,0
-0.2826,-0.1765,0.916,-0.2831,0.7597,0.4123,-3.115,1.5137,-10.045,0,0,0
-0.2837,-0.1755,0.9155,-0.2816,0.7597,0.4107,-3.4388,1.155,-10.0625,0,0,0
-0.2817,-0.1737,0.9149,-0.2816,0.7597,0.4107,-2.73,1.2075,-9.4325,0,0,0
-0.2841,-0.176,0.9146,-0.2814,0.7597,0.4126,-3.0538,1.54,-9.2312,0,0,0
-0.2858,-0.1791,0.9135,-0.2826,0.759,0.4116,-4.0338,1.785,-9.345,0,0,0
-0.2851,-0.1778,0.9121,-0.2826,0.759,0.4116,-3.6837,1.155,-9.73,0,0,0
-0.2846,-0.1785,0.9107,-0.2826,0.7618,0.4111,-3.4213,1.2337,-9.345,0,0,0
-0.2849,-0.1767,0.9123,-0.2826,0.7618,0.4111,-4.0075,1.3562,-9.485,0,0,0
-0.2847,-0.1752,0.914,-0.2841,0.7605,0.4164,-3.5875,1.0675,-9.7037,0,0,0
-0.2838,-0.1762,0.9191,-0.2817,0.7573,0.4122,-3.465,1.0762,-9.345,0,0,0
-0.2846,-0.1756,0.9104,-0.2817,0.7573,0.4122,-3.1588,1.2075,-9.6687,0,0,0
-0.2862,-0.1755,0.9123,-0.2846,0.7612,0.4122,-3.2375,0.9887,-9.8,0,0,0
-0.2819,-0.177,0.9172,-0.2846,0.7612,0.4122,-3.5875,1.3562,-9.5637,0,0,0
-0.285,-0.1753,0.9159,-0.2818,0.7606,0.4161,-3.5525,1.3562,-9.7562,0,0,0
-0.2855,-0.1769,0.9116,-0.2822,0.7601,0.4109,-3.57,0.9187,-10.0625,0,0,0
-0.2834,-0.175,0.9143,-0.2822,0.7601,0.4109,-3.7975,0.9713,-9.8,0,0,0
-0.2838,-0.175,0.9112,-0.2825,0.7593,0.411,-2.9838,1.26,-9.7562,0,0,0
-0.2853,-0.1767,0.9193,-0.2825,0.7593,0.411,-3.2725,1.4088,-9.94,0,0,0
-0.2804,-0.1773,0.9148,-0.2822,0.761,0.4097,-3.6663,1.0062,-10.2987,0,0,0
-0.2837,-0.1776,0.9134,-0.2833,0.7604,0.4124,-3.9725,1.19,-10.22,0,0,0
-0.2838,-0.1779,0.9145,-0.2833,0.7604,0.4124,-3.3425,1.3475,-10.4825,0,0,0
-0.2828,-0.176,0.9143,-0.2831,0.76,0.4127,-4.0425,1.68,-10.3687,0,0,0
-0.2857,-0.1784,0.9226,-0.2831,0.76,0.4127,-3.5613,1.3737,-9.94,0,0,0
-0.2816,-0.1772,0.9173,-0.2822,0.759,0.4149,-3.3163,0.7175,-9.9925,0,0,0
-0.2855,-0.1779,0.9126,-0.287,0.7618,0.4113,-3.0538,1.3562,-9.9488,0,0,0
-0.2841,-0.1746,0.9137,-0.287,0.7618,0.4113,-3.7013,1.1725,-9.7475,0,0,0
-0.2821,-0.1773,0.9159,-0.2824,0.7594,0.4118,-3.185,0.7175,-10.1412,0,0,0
-0.2862,-0.1771,0.9147,-0.2824,0.7594,0.4118,-2.975,1.2163,-10.22,0,0,0
-0.2866,-0.1759,0.9138,-0.2838,0.7593,0.4145,-3.7275,1.3825,-10.2375,0,0,0
-0.2836,-0.1785,0.9144,-0.2814,0.7605,0.4138,-3.9288,1.3125,-9.8437,0,0,0
-0.2816,-0.1768,0.9159,-0.2814,0.7605,0.4138,-4.165,1.1112,-9.9925,0,0,0
-0.2862,-0.1751,0.9151,-0.2862,0.7584,0.4112,-3.9025,1.2075,-10.3425,0,0,0
-0.2829,-0.176,0.914,-0.2862,0.7584,0.4112,-3.5875,1.3737,-10.3775,0,0,0
-0.286,-0.1762,0.9118,-0.2835,0.7602,0.4109,-3.0363,1.4088,-10.0187,0,0,0
-0.286,-0.1777,0.9192,-0.2825,0.7598,0.4118,-3.78,1.3387,-9.905,0,0,0
-0.2853,-0.178,0.921,-0.2825,0.7598,0.4118,-2.8087,1.1812,-10.9025,0,0,0
-0.2874,-0.179,0.9135,-0.281,0.761,0.4116,-2.9838,1.5137,-10.3162,0,0,0
-0.2855,-0.1738,0.9171,-0.281,0.761,0.4116,-3.2375,1.3037,-10.29,0,0,0
-0.2826,-0.1756,0.9147,-0.2854,0.7604,0.4172,-3.4038,0.9275,-9.9488,0,0,0
-0.2854,-0.1765,0.9138,-0.2855,0.7606,0.4121,-3.5175,1.05,-10.08,0,0,0
-0.2846,-0.1769,0.9148,-0.2855,0.7606,0.4121,-2.7388,1.6625,-9.9137,0,0,0
-0.2841,-0.1759,0.9138,-0.2832,0.7602,0.4119,-3.885,1.3387,-9.905,0,0,0
-0.2854,-0.1778,0.916,-0.2832,0.7602,0.4119,-4.3575,1.4262,-9.7825,0,0,0
-0.2851,-0.1766,0.9177,-0.2852,0.7602,0.4116,-2.7388,1.3125,-9.45,0,0,0
-0.2848,-0.177,0.9134,-0.2825,0.7597,0.4105,-3.4825,1.3737,-9.7125,0,0,0
-0.2821,-0.1782,0.9128,-0.2825,0.7597,0.4105,-3.5,1.4525,-9.7388,0,0,0
-0.2839,-0.1757,0.9107,-0.2854,0.7602,0.4123,-3.5875,1.47,-10.185,0,0,0
