AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2776,-0.2001,0.9116,-0.1796,0.7332,0.3388,-3.85,1.3387,-10.5262,-12.380143482198802,-16.568437378214064,-98.83609993115341
-0.2754,-0.1989,0.9087,-0.1796,0.7332,0.3388,-3.6925,1.4962,-10.9725,-12.346500941033565,-16.49616098884654,-98.84729398805781
-0.2758,-0.1972,0.918,-0.1773,0.7349,0.3375,-3.5175,1.4088,-10.9112,-12.124268281546016,-16.376266933568132,-98.68757664087354
-0.2732,-0.1991,0.9124,-0.1773,0.7349,0.3375,-3.6138,1.0412,-10.6225,-12.30942688450857,-16.31033938308551,-98.74922897272869
-0.2719,-0.1986,0.9119,-0.1814,0.7334,0.3304,-4.0163,1.1638,-10.7537,-12.286477430983851,-16.2465494165408,-99.20393601442224
-0.2717,-0.1973,0.9141,-0.1793,0.7315,0.3383,-3.2462,0.8487,-10.8587,-12.18016691166601,-16.203196454345676,-98.88811894815719
-0.2713,-0.1987,0.9135,-0.1793,0.7315,0.3383,-3.0363,0.9975,-10.5525,-12.271326645972826,-16.18400806567978,-98.91445809283728
-0.2772,-0.1977,0.913,-0.179,0.7328,0.3388,-3.6312,1.61,-10.5,-12.21825591612543,-16.508649569501262,-98.76824404100071
-0.2741,-0.1985,0.912,-0.179,0.7328,0.3388,-3.0713,1.2337,-10.3775,-12.278973551130049,-16.37376953138925,-98.826725294145
-0.2756,-0.1977,0.91,-0.177,0.7345,0.338,-2.765,1.1112,-10.4038,-12.257244750587667,-16.480260212759298,-98.6596878751204
-0.2749,-0.1979,0.9069,-0.1781,0.7326,0.3378,-3.5088,1.1025,-10.3425,-12.309754597447352,-16.49584734715299,-98.7608189375397
-0.2697,-0.1988,0.9095,-0.1781,0.7326,0.3378,-3.535,0.91,-10.4475,-12.329833164387557,-16.174158558783077,-98.85716580846936
