Hour,Minute,Second,IR1,Blinks
19,42,30.414,11766.0,0,0
19,42,30.43,11767.0,0,0
19,42,30.445,11766.0,0,0
19,42,30.461,11780.0,0,0
19,42,30.477,11776.0,0,0
19,42,30.492,11780.0,0,0
19,42,30.508,11770.0,0,0
19,42,30.523,11779.0,0,0
19,42,30.539,11769.0,0,0
19,42,30.555,11765.0,0,0
19,42,30.57,11761.0,0,0
19,42,30.586,11758.0,0,0
19,42,30.601,11758.0,0,0
19,42,30.617,11751.0,0,0
19,42,30.633,11741.0,0,0
19,42,30.648,11748.0,0,0
19,42,30.664,11740.0,0,0
19,42,30.679,11741.0,0,0
19,42,30.696,11748.0,0,0
19,42,30.712,11734.0,0,0
19,42,30.727,11746.0,0,0
19,42,30.743,11738.0,0,0
19,42,30.758,11750.0,0,0
19,42,30.774,11744.0,0,0
19,42,30.79,11742.0,0,0
19,42,30.805,11745.0,0,0
19,42,30.821,11752.0,0,0
19,42,30.836,11756.0,0,0
19,42,30.852,11756.0,0,0
19,42,30.868,11767.0,0,0
19,42,30.883,11767.0,0,0
19,42,30.899,11782.0,0,0
19,42,30.914,11797.0,0,0
19,42,30.93,11783.0,0,0
19,42,30.946,11775.0,0,0
19,42,30.961,11774.0,0,0
19,42,30.977,11767.0,0,0
19,42,30.992,11776.0,0,0
19,42,31.008,11774.0,0,0
19,42,31.024,11767.0,0,0
19,42,31.039,11756.0,0,0
19,42,31.055,11753.0,0,0
19,42,31.07,11758.0,0,0
19,42,31.086,11768.0,0,0
19,42,31.102,11751.0,0,0
19,42,31.117,11748.0,0,0
19,42,31.133,11743.0,0,0
19,42,31.148,11746.0,0,0
19,42,31.164,11739.0,0,0
19,42,31.18,11746.0,0,0
19,42,31.195,11735.0,0,0
19,42,31.211,11751.0,0,0
19,42,31.226,11751.0,0,0
19,42,31.242,11763.0,0,0
19,42,31.258,11750.0,0,0
19,42,31.273,11769.0,0,0
19,42,31.289,11753.0,0,0
19,42,31.304,11762.0,0,0
19,42,31.32,11755.0,0,0
19,42,31.336,11770.0,0,0
19,42,31.351,11773.0,0,0
19,42,31.367,11781.0,0,0
19,42,31.382,11762.0,0,0
19,42,31.398,11773.0,0,0
19,42,31.414,11773.0,0,0
19,42,31.429,11782.0,0,0
19,42,31.445,11770.0,0,0
19,42,31.46,11767.0,0,0
19,42,31.476,11769.0,0,0
19,42,31.492,11766.0,0,0
19,42,31.507,11759.0,0,0
19,42,31.523,11763.0,0,0
19,42,31.538,11749.0,0,0
19,42,31.554,11746.0,0,0
19,42,31.57,11743.0,0,0
19,42,31.585,11753.0,0,0
19,42,31.601,11736.0,0,0
19,42,31.616,11745.0,0,0
19,42,31.632,11749.0,0,0
19,42,31.648,11750.0,0,0
19,42,31.663,11754.0,0,0
19,42,31.679,11756.0,0,0
19,42,31.694,11753.0,0,0
19,42,31.71,11761.0,0,0
19,42,31.726,11755.0,0,0
19,42,31.741,11770.0,0,0
19,42,31.757,11754.0,0,0
19,42,31.772,11763.0,0,0
19,42,31.788,11770.0,0,0
19,42,31.804,11768.0,0,0
19,42,31.819,11778.0,0,0
19,42,31.835,11765.0,0,0
19,42,31.85,11773.0,0,0
19,42,31.866,11771.0,0,0
19,42,31.882,11770.0,0,0
19,42,31.897,11770.0,0,0
19,42,31.913,11775.0,0,0
19,42,31.928,11773.0,0,0
19,42,31.944,11765.0,0,0
19,42,31.96,11772.0,0,0
19,42,31.975,11768.0,0,0
19,42,31.991,11741.0,0,0
19,42,32.006,11747.0,0,0
19,42,32.022,11759.0,0,0
19,42,32.038,11744.0,0,0
19,42,32.053,11754.0,0,0
19,42,32.069,11745.0,0,0
19,42,32.084,11748.0,0,0
19,42,32.1,11747.0,0,0
19,42,32.116,11756.0,0,0
19,42,32.131,11748.0,0,0
19,42,32.147,11749.0,0,0
19,42,32.162,11759.0,0,0
19,42,32.178,11755.0,0,0
19,42,32.194,11759.0,0,0
19,42,32.209,11773.0,0,0
19,42,32.225,11782.0,0,0
19,42,32.24,11766.0,0,0
19,42,32.256,11763.0,0,0
19,42,32.272,11781.0,0,0
19,42,32.287,11777.0,0,0
19,42,32.303,11785.0,0,0
19,42,32.318,11771.0,0,0
19,42,32.334,11762.0,0,0
19,42,32.35,11757.0,0,0
19,42,32.365,11759.0,0,0
19,42,32.381,11769.0,0,0
19,42,32.396,11772.0,0,0
19,42,32.412,11769.0,0,0
19,42,32.428,11759.0,0,0
19,42,32.443,11752.0,0,0
19,42,32.459,11759.0,0,0
19,42,32.474,11760.0,0,0
19,42,32.49,11759.0,0,0
19,42,32.506,11759.0,0,0
19,42,32.521,11754.0,0,0
19,42,32.537,11755.0,0,0
19,42,32.552,11755.0,0,0
19,42,32.568,11746.0,0,0
19,42,32.584,11762.0,0,0
19,42,32.599,11760.0,0,0
19,42,32.615,11760.0,0,0
19,42,32.63,11768.0,0,0
19,42,32.646,11766.0,0,0
19,42,32.662,11767.0,0,0
19,42,32.677,11782.0,0,0
19,42,32.693,11788.0,0,0
19,42,32.708,11768.0,0,0
19,42,32.724,11795.0,0,0
19,42,32.74,11779.0,0,0
19,42,32.755,11698.0,0,0
19,42,32.771,11693.0,0,0
19,42,32.786,11664.0,0,0
19,42,32.802,11608.0,0,0
19,42,32.818,11534.0,0,0
19,42,32.833,11536.0,0,0
19,42,32.849,11562.0,0,0
19,42,32.864,11602.0,0,0
19,42,32.88,11546.0,0,0
19,42,32.896,11589.0,0,0
19,42,32.911,11589.0,0,0
19,42,32.927,11468.0,0,0
