Hour,Minute,Second,IR1,Blinks
20,19,23.595,14084.0,0,0
20,19,23.605,14084.0,0,0
20,19,23.61,14046.0,0,0
20,19,23.62,14038.0,0,0
20,19,23.63,14058.0,0,0
20,19,23.635,14065.0,0,0
20,19,23.645,14089.0,0,0
20,19,23.65,14105.0,0,0
20,19,23.66,14101.0,0,0
20,19,23.67,14092.0,0,0
20,19,23.68,14067.0,0,0
20,19,23.685,14028.0,0,0
20,19,23.695,14013.0,0,0
20,19,23.7,14003.0,0,0
20,19,23.71,13976.0,0,0
20,19,23.715,13901.0,0,0
20,19,23.725,13855.0,0,0
20,19,23.73,13827.0,0,0
20,19,23.74,13800.0,0,0
20,19,23.75,13799.0,0,0
20,19,23.76,13800.0,0,0
20,19,23.765,13786.0,0,0
20,19,23.775,13772.0,0,0
20,19,23.785,13747.0,0,0
20,19,23.79,13649.0,0,0
20,19,23.795,13522.0,0,0
20,19,23.805,13480.0,0,0
20,19,23.815,13288.0,0,0
20,19,23.82,13102.0,0,0
20,19,23.83,12894.0,0,0
20,19,23.835,12910.0,0,0
20,19,23.845,12790.0,0,0
20,19,23.85,12700.0,0,0
20,19,23.86,12597.0,0,0
20,19,23.87,12597.0,0,0
20,19,23.875,12494.0,0,0
20,19,23.885,12387.0,0,0
20,19,23.89,12256.0,0,0
20,19,23.9,12256.0,0,0
20,19,23.905,12149.0,0,0
20,19,23.915,12064.0,0,0
20,19,23.925,11964.0,0,0
20,19,23.93,11964.0,0,0
20,19,23.94,11859.0,0,0
20,19,23.945,11715.0,0,0
20,19,23.955,11583.0,0,0
20,19,23.96,11583.0,0,0
20,19,23.97,11449.0,0,0
20,19,23.98,11345.0,0,0
20,19,23.99,11201.0,0,0
20,19,23.995,11201.0,0,0
20,19,24.005,11125.0,0,0
20,19,24.015,11082.0,0,0
20,19,24.02,11031.0,0,0
20,19,24.03,11019.0,0,0
20,19,24.035,10986.0,0,0
20,19,24.045,10934.0,0,0
20,19,24.05,10818.0,0,0
20,19,24.06,10778.0,0,0
20,19,24.065,10659.0,0,0
20,19,24.075,10533.0,0,0
20,19,24.085,10443.0,0,0
20,19,24.09,10405.0,0,0
20,19,24.095,10367.0,0,0
20,19,24.105,10320.0,0,0
20,19,24.115,10331.0,0,0
20,19,24.12,10334.0,0,0
20,19,24.131,10337.0,0,0
20,19,24.136,10352.0,0,0
20,19,24.146,10359.0,0,0
20,19,24.156,10353.0,0,0
20,19,24.161,10352.0,0,0
20,19,24.171,10312.0,0,0
20,19,24.176,10279.0,0,0
20,19,24.186,10268.0,0,0
20,19,24.191,10265.0,0,0
20,19,24.201,10220.0,0,0
20,19,24.206,10220.0,0,0
20,19,24.216,10210.0,0,0
20,19,24.226,10210.0,0,0
20,19,24.236,10241.0,0,0
20,19,24.241,10271.0,0,0
20,19,24.251,10352.0,0,0
20,19,24.261,10352.0,0,0
20,19,24.266,10380.0,0,0
20,19,24.276,10403.0,0,0
20,19,24.286,10411.0,0,0
20,19,24.296,10411.0,0,0
20,19,24.306,10410.0,0,0
20,19,24.311,10381.0,0,0
20,19,24.321,10337.0,0,0
20,19,24.326,10337.0,0,0
20,19,24.336,10311.0,0,0
20,19,24.341,10292.0,0,0
20,19,24.351,10284.0,0,0
20,19,24.356,10284.0,0,0
20,19,24.366,10310.0,0,0
20,19,24.371,10324.0,0,0
20,19,24.381,10326.0,0,0
20,19,24.391,10329.0,0,0
20,19,24.396,10339.0,0,0
20,19,24.406,10335.0,0,0
20,19,24.416,10322.0,0,0
20,19,24.426,10316.0,0,0
20,19,24.431,10301.0,0,0
20,19,24.441,10289.0,0,0
20,19,24.451,10272.0,0,0
20,19,24.456,10262.0,0,0
20,19,24.466,10253.0,0,0
20,19,24.476,10239.0,0,0
20,19,24.486,10239.0,0,0
20,19,24.491,10233.0,0,0
20,19,24.501,10228.0,0,0
20,19,24.506,10219.0,0,0
20,19,24.516,10205.0,0,0
20,19,24.526,10190.0,0,0
20,19,24.531,10185.0,0,0
20,19,24.541,10145.0,0,0
20,19,24.546,10103.0,0,0
20,19,24.556,10066.0,0,0
20,19,24.561,10054.0,0,0
20,19,24.566,10005.0,0,0
20,19,24.576,9974.0,0,0
20,19,24.581,9948.0,0,0
20,19,24.591,9948.0,0,0
20,19,24.596,9953.0,0,0
20,19,24.601,9990.0,0,0
20,19,24.611,10019.0,0,0
20,19,24.621,10019.0,0,0
20,19,24.626,10058.0,0,0
20,19,24.636,10079.0,0,0
20,19,24.646,10071.0,0,0
20,19,24.651,10071.0,0,0
20,19,24.661,10036.0,0,0
20,19,24.666,9984.0,0,0
20,19,24.676,9942.0,0,0
20,19,24.686,9942.0,0,0
20,19,24.691,9904.0,0,0
20,19,24.701,9900.0,0,0
20,19,24.706,9892.0,0,0
20,19,24.716,9892.0,0,0
20,19,24.726,9918.0,0,0
20,19,24.736,9919.0,0,0
20,19,24.741,9949.0,0,0
20,19,24.751,9958.0,0,0
20,19,24.756,9985.0,0,0
20,19,24.766,9989.0,0,0
20,19,24.771,9984.0,0,0
20,19,24.776,9906.0,0,0
20,19,24.786,9931.0,0,0
20,19,24.796,9893.0,0,0
20,19,24.801,9814.0,0,0
20,19,24.811,9780.0,0,0
20,19,24.821,9747.0,0,0
20,19,24.826,9683.0,0,0
20,19,24.836,9631.0,0,0
20,19,24.846,9612.0,0,0
20,19,24.851,9594.0,0,0
20,19,24.856,9596.0,0,0
20,19,24.866,9644.0,0,0
20,19,24.871,9692.0,0,0
20,19,24.876,9709.0,0,0
20,19,24.886,9830.0,0,0
20,19,24.896,9975.0,0,0
20,19,24.906,10147.0,0,0
20,19,24.911,10119.0,0,0
20,19,24.921,10236.0,0,0
20,19,24.93,10283.0,0,0
20,19,24.935,10251.0,0,0
20,19,24.945,10251.0,0,0
20,19,24.95,10171.0,0,0
20,19,24.96,10077.0,0,0
20,19,24.97,9986.0,0,0
20,19,24.975,9986.0,0,0
20,19,24.985,9931.0,0,0
20,19,24.99,9894.0,0,0
20,19,25.0,9853.0,0,0
20,19,25.01,9853.0,0,0
20,19,25.015,9838.0,0,0
20,19,25.025,9834.0,0,0
20,19,25.03,9815.0,0,0
20,19,25.04,9815.0,0,0
20,19,25.05,9831.0,0,0
20,19,25.06,9800.0,0,0
20,19,25.065,9785.0,0,0
20,19,25.07,9785.0,0,0
20,19,25.08,9767.0,0,0
20,19,25.09,9743.0,0,0
20,19,25.095,9751.0,0,0
20,19,25.105,9751.0,0,0
20,19,25.11,9802.0,0,0
20,19,25.12,9850.0,0,0
20,19,25.13,9903.0,0,0
20,19,25.135,9912.0,0,0
20,19,25.145,9940.0,0,0
20,19,25.15,9943.0,0,0
20,19,25.16,9903.0,0,0
20,19,25.17,9886.0,0,0
20,19,25.175,9836.0,0,0
20,19,25.185,9791.0,0,0
20,19,25.19,9774.0,0,0
20,19,25.2,9770.0,0,0
20,19,25.21,9766.0,0,0
20,19,25.215,9762.0,0,0
20,19,25.225,9764.0,0,0
20,19,25.23,9757.0,0,0
20,19,25.24,9751.0,0,0
20,19,25.25,9711.0,0,0
20,19,25.255,9674.0,0,0
20,19,25.265,9644.0,0,0
20,19,25.274,9634.0,0,0
20,19,25.281,9610.0,0,0
20,19,25.287,9592.0,0,0
20,19,25.297,9589.0,0,0
20,19,25.302,9588.0,0,0
20,19,25.312,9599.0,0,0
20,19,25.322,9640.0,0,0
20,19,25.327,9699.0,0,0
20,19,25.337,9699.0,0,0
20,19,25.347,9755.0,0,0
20,19,25.352,9823.0,0,0
20,19,25.362,9894.0,0,0
20,19,25.367,9894.0,0,0
20,19,25.377,9906.0,0,0
20,19,25.382,9873.0,0,0
20,19,25.392,9806.0,0,0
20,19,25.402,9806.0,0,0
20,19,25.407,9723.0,0,0
20,19,25.417,9658.0,0,0
20,19,25.422,9628.0,0,0
20,19,25.432,9628.0,0,0
20,19,25.442,9613.0,0,0
20,19,25.447,9617.0,0,0
20,19,25.457,9635.0,0,0
20,19,25.462,9635.0,0,0
20,19,25.472,9670.0,0,0
20,19,25.477,9695.0,0,0
20,19,25.487,9715.0,0,0
20,19,25.497,9719.0,0,0
20,19,25.502,9732.0,0,0
20,19,25.512,9707.0,0,0
20,19,25.517,9681.0,0,0
20,19,25.527,9675.0,0,0
20,19,25.537,9657.0,0,0
20,19,25.542,9653.0,0,0
20,19,25.552,9641.0,0,0
20,19,25.557,9642.0,0,0
20,19,25.567,9643.0,0,0
20,19,25.577,9655.0,0,0
20,19,25.582,9666.0,0,0
20,19,25.592,9672.0,0,0
20,19,25.602,9678.0,0,0
20,19,25.607,9692.0,0,0
20,19,25.617,9707.0,0,0
20,19,25.627,9706.0,0,0
20,19,25.632,9706.0,0,0
20,19,25.642,9713.0,0,0
20,19,25.647,9705.0,0,0
20,19,25.657,9703.0,0,0
20,19,25.667,9703.0,0,0
20,19,25.672,9701.0,0,0
20,19,25.682,9691.0,0,0
20,19,25.687,9697.0,0,0
20,19,25.697,9697.0,0,0
20,19,25.707,9689.0,0,0
20,19,25.712,9692.0,0,0
20,19,25.722,9690.0,0,0
20,19,25.727,9690.0,0,0
20,19,25.737,9677.0,0,0
20,19,25.747,9675.0,0,0
20,19,25.752,9671.0,0,0
20,19,25.762,9671.0,0,0
20,19,25.767,9659.0,0,0
20,19,25.777,9651.0,0,0
20,19,25.787,9650.0,0,0
20,19,25.792,9650.0,0,0
20,19,25.802,9658.0,0,0
20,19,25.807,9660.0,0,0
20,19,25.817,9665.0,0,0
20,19,25.827,9665.0,0,0
20,19,25.837,9666.0,0,0
20,19,25.847,9654.0,0,0
20,19,25.852,9647.0,0,0
20,19,25.862,9647.0,0,0
20,19,25.867,9644.0,0,0
20,19,25.877,9633.0,0,0
20,19,25.882,9631.0,0,0
20,19,25.892,9629.0,0,0
20,19,25.902,9624.0,0,0
20,19,25.907,9634.0,0,0
20,19,25.917,9649.0,0,0
20,19,25.922,9654.0,0,0
20,19,25.927,9671.0,0,0
20,19,25.937,9669.0,0,0
20,19,25.948,9680.0,0,0
20,19,25.955,9678.0,0,0
20,19,25.964,9674.0,0,0
20,19,25.97,9657.0,0,0
20,19,25.975,9676.0,0,0
20,19,25.985,9663.0,0,0
20,19,25.995,9650.0,0,0
20,19,26.0,9644.0,0,0
20,19,26.005,9635.0,0,0
20,19,26.015,9635.0,0,0
20,19,26.02,9635.0,0,0
20,19,26.03,9653.0,0,0
20,19,26.04,9660.0,0,0
20,19,26.045,9654.0,0,0
20,19,26.055,9653.0,0,0
20,19,26.065,9657.0,0,0
20,19,26.07,9664.0,0,0
20,19,26.08,9654.0,0,0
20,19,26.085,9651.0,0,0
20,19,26.095,9653.0,0,0
20,19,26.105,9658.0,0,0
20,19,26.11,9668.0,0,0
20,19,26.12,9668.0,0,0
20,19,26.125,9666.0,0,0
20,19,26.135,9659.0,0,0
20,19,26.145,9676.0,0,0
20,19,26.15,9676.0,0,0
20,19,26.16,9653.0,0,0
20,19,26.165,9660.0,0,0
20,19,26.175,9661.0,0,0
20,19,26.185,9661.0,0,0
20,19,26.19,9655.0,0,0
20,19,26.2,9657.0,0,0
20,19,26.21,9663.0,0,0
20,19,26.215,9663.0,0,0
20,19,26.225,9658.0,0,0
20,19,26.23,9657.0,0,0
20,19,26.24,9665.0,0,0
20,19,26.25,9665.0,0,0
20,19,26.26,9679.0,0,0
20,19,26.265,9669.0,0,0
